storeId,ItemId,businessDate,sales
11,44090,7/27/2020,1.8011109
11,32830,7/27/2020,5.058112
11,41350,7/27/2020,2.8123958
169,13600,7/28/2020,4.732712
169,0,7/28/2020,39.034405
